Month,max_temp,min_temp,daily_rain,sunshine_hours,humidity
 1984 Nov ,31,24,35.4,4.3,86.3
 1984 Dec ,30,23.6,58.4,3.3,86.7
 1985 Jan ,31.2,23.6,35.5,8.7,81.5
 1985 Feb ,32.1,24.1,18.7,6.5,84
 1985 Mar ,31.8,24.2,23.8,5.6,83.9
 1985 Apr ,32.2,27.5,29.3,5.5,83.8
 1985 May ,31.8,25.2,36.2,5.7,83.4
 1985 Jun ,32.1,25.7,9.9,5.8,79.4
 1985 Jul ,30.8,23.9,32.2,5.3,83.1
 1985 Aug ,31.5,25.1,21.4,6.2,80.4
 1985 Sep ,30.9,24,22,5,83.1
 1985 Oct ,30.6,23.9,30.2,4.1,84.7
 1985 Nov ,31.1,23.8,38.2,4.1,85
 1985 Dec ,30.2,23.7,86.8,4.6,86.2
 1986 Jan ,29.3,23.4,95.6,3.9,83.9
 1986 Feb ,31.9,23.9,23,7.2,78.4
 1986 Mar ,30.5,24.1,71.1,6.2,86.6
 1986 Apr ,31.7,24.7,56.4,6.2,85.3
 1986 May ,31.8,25.4,51.3,6.2,81.8
 1986 Jun ,31.6,27.9,34.5,6.8,82.5
 1986 Jul ,31.5,27.9,23.5,6.2,79.9
 1986 Aug ,31.9,25.2,28.4,5.6,77.3
 1986 Sep ,30.6,23.6,97.6,4.7,84.4
 1986 Oct ,30.9,24.3,65.6,5,85
 1986 Nov ,30.9,24.1,40.5,4.5,84.1
 1986 Dec ,30.3,23.9,131.7,5.4,85.2
 1987 Jan ,28.8,23.4,127.4,4,86
 1987 Feb ,31.6,23.7,34.8,9.2,79
 1987 Mar ,32.1,24.8,40.9,6.9,83.2
 1987 Apr ,32.6,25.1,27.7,6.2,82.8
 1987 May ,31.7,25,81.4,5.6,84.6
 1987 Jun ,32.4,26,30.7,6.8,80.7
 1987 Jul ,31.6,25.4,21.6,6.7,81.3
 1987 Aug ,31.1,25,48.2,5.1,83.6
 1987 Sep ,31.7,24.6,44.5,5.4,82.5
 1987 Oct ,32.5,25.2,5.9,5.8,82.1
 1987 Nov ,31.7,24.3,77.7,4.5,84
 1987 Dec ,30.4,24.2,24.3,4.8,84.6
 1988 Jan ,30.8,24.5,69,5.9,84.3
 1988 Feb ,32,24.6,46.7,6.7,83.2
 1988 Mar ,31.3,24.8,70.1,5.2,85.3
 1988 Apr ,32.4,25.2,22.8,5.4,84.5
 1988 May ,32,25.8,76.7,5.6,82.7
 1988 Jun ,31.8,24.9,69.4,6.5,81.6
 1988 Jul ,31.2,24.6,75.6,6,84
 1988 Aug ,30.8,24.5,19,4.9,84.9
 1988 Sep ,31,24.5,187.3,4.8,84.5
 1988 Oct ,31.5,24.5,39.8,4.1,83.2
 1988 Nov ,30.3,23.7,111.9,3.7,86.8
 1988 Dec ,30.4,23.9,22,5.7,81.1
 1989 Jan ,30.9,23.9,53,5.8,84.1
 1989 Feb ,31.8,23.7,48.4,6.7,78.3
